tag,e_final,e_dd,e_months,e_yup,e_ruin,g_final,g_dd,g_months,g_yup,g_ruin,both
A $18,1810.2872812500073,17.36875757820279,74.8898678414097,19,False,1864.7878190383547,23.156839345103762,61.67400881057269,18,False,False
C $10,1617.0185949350623,13.18612653854191,74.44933920704845,19,False,2200.317842734724,8.04351153834027,74.8898678414097,19,False,True
A $10,1331.9464089712933,9.682108879027227,74.00881057268722,19,False,2092.182586878087,9.788825309582583,70.48458149779736,19,False,True
A $22,1782.4745250000074,19.93987939806317,73.568281938326,19,False,1917.4876685208023,20.91883660456288,63.436123348017624,18,False,False
A $14,1783.324227884611,16.745028315256814,71.36563876651982,19,False,2398.957240752759,13.37824826992703,70.92511013215858,19,False,True
B $22,2025.6935084615286,18.840707887641113,70.48458149779736,19,False,1721.9849437334965,20.756950964859286,58.590308370044056,18,False,False
C $22,1638.2881385714181,19.648012087246762,70.48458149779736,19,False,2215.718800786931,18.072297969768027,65.63876651982379,18,False,False
ปัจจุบัน $18,1333.041383333333,16.076615941916458,61.67400881057269,19,False,2238.205522122972,18.23600558253938,66.96035242290749,19,False,True
