atr_mult,rebound,vol_block,atr_fast,atr_slow,final,max_dd_pct,months_up_pct,median_year_pct,years_up,trades_per_year,ruined
3.5,0.55,1.15,20,200,626.31,48.38,50.7,2.34,15,149.0,False
3.5,0.55,1.15,20,288,421.1,48.36,50.2,0.01,10,156.0,False
3.5,0.55,1.15,50,100,19.86,106.35,43.6,-5.15,8,185.0,True
3.5,0.55,1.15,50,200,282.96,34.97,46.3,-0.29,9,159.0,False
3.5,0.55,1.15,50,288,22.22,83.61,40.5,-8.35,5,161.0,False
3.5,0.55,1.35,10,100,135.71,65.17,46.7,-0.81,9,157.0,False
3.5,0.55,1.35,10,200,480.42,30.35,48.0,1.34,11,150.0,False
3.5,0.55,1.35,10,288,461.81,26.94,50.7,1.8,11,155.0,False
3.5,0.55,1.35,20,100,-32.66,140.84,41.4,-3.07,9,168.0,True
3.5,0.55,1.35,20,200,279.18,68.43,52.4,0.84,11,165.0,False
3.5,0.55,1.35,20,288,139.46,65.76,46.3,2.32,11,166.0,False
3.5,0.55,1.35,50,100,-179.72,275.7,33.5,7.42,11,195.0,True
3.5,0.55,1.35,50,200,-85.64,185.26,37.4,-3.43,9,174.0,True
3.5,0.55,1.35,50,288,-70.14,181.33,36.6,0.78,10,182.0,True
4.2,0.35,1.0,10,100,994.86,19.53,58.1,4.08,17,128.0,False
4.2,0.35,1.0,10,200,872.53,19.56,55.1,4.59,17,110.0,False
4.2,0.35,1.0,10,288,928.98,20.57,57.7,5.51,18,116.0,False
4.2,0.35,1.0,20,100,902.56,19.22,59.9,7.31,18,138.0,False
4.2,0.35,1.0,20,200,674.09,18.35,49.8,9.3,16,126.0,False
4.2,0.35,1.0,20,288,752.65,29.35,53.7,4.64,17,129.0,False
4.2,0.35,1.0,50,100,498.43,24.62,50.2,1.55,15,151.0,False
4.2,0.35,1.0,50,200,186.02,36.01,47.6,1.87,12,136.0,False
4.2,0.35,1.0,50,288,365.38,43.68,52.0,0.73,10,143.0,False
4.2,0.35,1.15,10,100,461.75,25.39,49.3,1.02,13,139.0,False
4.2,0.35,1.15,10,200,673.75,18.6,55.5,8.39,15,123.0,False
4.2,0.35,1.15,10,288,694.19,26.7,52.4,3.38,16,133.0,False
4.2,0.35,1.15,20,100,242.6,71.08,44.9,1.0,13,158.0,False
4.2,0.35,1.15,20,200,621.06,30.66,49.8,1.6,14,142.0,False
4.2,0.35,1.15,20,288,402.99,53.73,47.6,1.82,11,148.0,False
4.2,0.35,1.15,50,100,18.07,89.61,39.6,-10.05,7,181.0,False
4.2,0.35,1.15,50,200,270.87,39.2,44.1,2.82,12,155.0,False
4.2,0.35,1.15,50,288,45.67,69.68,41.0,-3.29,7,163.0,False
4.2,0.35,1.35,10,100,192.52,78.42,43.2,2.18,11,154.0,False
4.2,0.35,1.35,10,200,413.66,61.66,45.4,-0.06,9,145.0,False
4.2,0.35,1.35,10,288,307.7,29.12,47.1,2.97,14,149.0,False
4.2,0.35,1.35,20,100,149.67,103.55,46.3,-6.3,7,168.0,True
4.2,0.35,1.35,20,200,296.67,58.8,48.9,4.72,12,159.0,False
4.2,0.35,1.35,20,288,135.78,50.9,44.1,0.43,10,161.0,False
4.2,0.35,1.35,50,100,-309.23,401.75,32.2,4.14,15,192.0,True
4.2,0.35,1.35,50,200,-1.68,120.01,35.7,-30.1,6,174.0,True
4.2,0.35,1.35,50,288,-133.8,222.41,35.7,5.32,12,180.0,True
4.2,0.45,1.0,10,100,760.71,18.19,54.2,7.17,18,118.0,False
4.2,0.45,1.0,10,200,1220.73,17.88,58.1,5.11,19,100.0,False
4.2,0.45,1.0,10,288,1452.4,17.83,61.7,9.52,18,112.0,False
4.2,0.45,1.0,20,100,1323.67,19.36,59.5,6.06,17,136.0,False
4.2,0.45,1.0,20,200,1193.7,20.0,57.3,7.33,18,115.0,False
4.2,0.45,1.0,20,288,966.03,28.19,60.8,4.9,15,122.0,False
4.2,0.45,1.0,50,100,598.65,37.36,54.6,4.37,16,144.0,False
4.2,0.45,1.0,50,200,985.27,30.95,54.2,7.18,16,134.0,False
4.2,0.45,1.0,50,288,543.97,36.48,50.2,2.23,13,138.0,False
4.2,0.45,1.15,10,100,599.72,27.01,55.9,6.34,15,129.0,False
4.2,0.45,1.15,10,200,877.48,15.99,53.7,4.64,13,116.0,False
4.2,0.45,1.15,10,288,991.52,18.98,57.3,2.42,16,129.0,False
4.2,0.45,1.15,20,100,409.44,38.07,53.3,2.15,14,150.0,False
4.2,0.45,1.15,20,200,593.92,36.23,50.7,1.59,13,132.0,False
4.2,0.45,1.15,20,288,381.37,50.96,48.9,1.78,14,138.0,False
4.2,0.45,1.15,50,100,-7.43,148.39,45.8,-47.87,4,172.0,True
4.2,0.45,1.15,50,200,326.52,54.78,45.4,1.7,11,146.0,False
4.2,0.45,1.15,50,288,40.77,80.11,40.5,-1.57,9,151.0,False
4.2,0.45,1.35,10,100,433.7,37.46,47.1,0.95,12,145.0,False
4.2,0.45,1.35,10,200,500.02,53.23,50.2,0.81,12,136.0,False
4.2,0.45,1.35,10,288,499.85,26.42,48.0,4.61,14,138.0,False
4.2,0.45,1.35,20,100,82.32,79.61,46.3,1.35,12,158.0,False
4.2,0.45,1.35,20,200,474.8,32.73,49.8,3.3,14,151.0,False
4.2,0.45,1.35,20,288,114.27,52.02,46.7,1.71,11,148.0,False
4.2,0.45,1.35,50,100,-251.89,276.47,28.2,4.23,12,184.0,True
4.2,0.45,1.35,50,200,-51.15,172.53,36.1,1.74,10,165.0,True
4.2,0.45,1.35,50,288,-164.88,251.17,37.9,3.28,12,172.0,True
4.2,0.55,1.0,10,100,1325.0,17.45,59.9,7.28,17,113.0,False
4.2,0.55,1.0,10,200,1339.49,20.47,56.8,6.76,17,95.0,False
4.2,0.55,1.0,10,288,1358.41,17.95,59.9,4.91,18,100.0,False
4.2,0.55,1.0,20,100,1030.67,15.52,59.0,6.82,17,121.0,False
4.2,0.55,1.0,20,200,1126.99,17.7,59.9,5.63,18,107.0,False
4.2,0.55,1.0,20,288,1110.36,19.16,59.5,6.02,18,112.0,False
4.2,0.55,1.0,50,100,749.54,25.73,53.3,5.93,19,141.0,False
4.2,0.55,1.0,50,200,1004.77,27.36,55.1,6.34,16,125.0,False
4.2,0.55,1.0,50,288,644.23,32.51,53.7,7.29,13,132.0,False
4.2,0.55,1.15,10,100,610.28,20.41,53.3,7.07,17,124.0,False
4.2,0.55,1.15,10,200,1161.21,17.83,60.8,5.5,18,111.0,False
4.2,0.55,1.15,10,288,616.68,21.6,53.3,6.74,15,118.0,False
4.2,0.55,1.15,20,100,607.14,30.59,52.9,7.34,18,142.0,False
4.2,0.55,1.15,20,200,846.58,27.72,56.4,4.68,14,121.0,False
4.2,0.55,1.15,20,288,405.8,31.2,51.5,1.27,14,131.0,False
4.2,0.55,1.15,50,100,35.47,98.92,44.9,5.04,10,165.0,False
4.2,0.55,1.15,50,200,610.45,59.5,51.5,2.93,15,146.0,False
4.2,0.55,1.15,50,288,81.32,67.65,41.9,-0.74,9,146.0,False
4.2,0.55,1.35,10,100,330.42,51.59,46.7,1.93,11,136.0,False
4.2,0.55,1.35,10,200,469.1,64.29,49.3,4.91,14,128.0,False
4.2,0.55,1.35,10,288,404.45,39.63,53.3,1.62,12,132.0,False
4.2,0.55,1.35,20,100,125.78,102.25,45.8,2.01,10,151.0,True
4.2,0.55,1.35,20,200,308.35,36.88,50.2,1.15,13,138.0,False
4.2,0.55,1.35,20,288,232.92,52.29,44.5,0.32,11,146.0,False
4.2,0.55,1.35,50,100,-205.18,306.74,34.4,6.94,11,178.0,True
4.2,0.55,1.35,50,200,164.92,98.39,48.0,0.22,10,161.0,False
4.2,0.55,1.35,50,288,-77.17,171.78,37.9,9.11,10,164.0,True
5.0,0.35,1.0,10,100,1078.0,24.21,61.2,7.07,17,106.0,False
5.0,0.35,1.0,10,200,1076.96,21.85,57.3,7.99,18,96.0,False
5.0,0.35,1.0,10,288,1063.67,19.75,60.8,9.5,18,95.0,False
5.0,0.35,1.0,20,100,741.4,26.03,52.0,6.05,14,120.0,False
5.0,0.35,1.0,20,200,1042.31,28.2,59.5,8.03,15,106.0,False
5.0,0.35,1.0,20,288,836.99,32.64,59.5,9.21,17,112.0,False
5.0,0.35,1.0,50,100,544.71,37.71,54.2,2.63,13,130.0,False
5.0,0.35,1.0,50,200,606.36,35.29,50.2,2.94,16,123.0,False
5.0,0.35,1.0,50,288,555.17,26.03,48.9,1.9,16,129.0,False
5.0,0.35,1.15,10,100,748.42,34.48,50.7,2.62,16,127.0,False
5.0,0.35,1.15,10,200,845.99,36.51,49.8,8.33,14,110.0,False
5.0,0.35,1.15,10,288,938.34,17.63,55.5,7.86,16,113.0,False
5.0,0.35,1.15,20,100,337.06,64.42,48.5,1.0,13,141.0,False
5.0,0.35,1.15,20,200,437.99,40.78,53.3,5.63,15,119.0,False
5.0,0.35,1.15,20,288,521.7,28.39,49.8,2.87,16,128.0,False
5.0,0.35,1.15,50,100,-22.98,162.64,38.3,-8.59,7,164.0,True
5.0,0.35,1.15,50,200,335.09,66.68,47.1,4.77,13,141.0,False
5.0,0.35,1.15,50,288,186.33,62.92,42.7,0.87,10,147.0,False
5.0,0.35,1.35,10,100,299.9,44.41,52.4,0.52,12,136.0,False
5.0,0.35,1.35,10,200,483.13,66.01,52.0,3.15,14,122.0,False
5.0,0.35,1.35,10,288,178.27,79.4,48.0,0.02,10,131.0,False
5.0,0.35,1.35,20,100,53.62,144.73,50.2,19.96,11,151.0,True
5.0,0.35,1.35,20,200,183.96,91.53,47.6,1.8,11,137.0,False
5.0,0.35,1.35,20,288,281.0,56.65,48.9,2.78,13,147.0,False
5.0,0.35,1.35,50,100,-236.38,325.59,29.5,7.86,14,176.0,True
5.0,0.35,1.35,50,200,39.73,159.72,40.1,-24.84,9,159.0,True
5.0,0.35,1.35,50,288,-89.5,184.26,39.6,0.62,11,165.0,True
5.0,0.45,1.0,10,100,924.8,22.71,55.1,3.1,18,98.0,False
5.0,0.45,1.0,10,200,1324.85,19.15,62.1,5.35,17,89.0,False
5.0,0.45,1.0,10,288,924.97,20.6,57.7,4.0,15,90.0,False
5.0,0.45,1.0,20,100,927.61,34.97,57.7,7.73,18,108.0,False
5.0,0.45,1.0,20,200,878.99,31.47,56.8,3.81,18,96.0,False
5.0,0.45,1.0,20,288,934.89,31.22,56.8,7.09,17,101.0,False
5.0,0.45,1.0,50,100,829.47,33.01,52.4,7.31,16,122.0,False
5.0,0.45,1.0,50,200,854.66,27.78,57.7,8.17,15,119.0,False
5.0,0.45,1.0,50,288,409.9,33.63,52.9,6.33,16,121.0,False
5.0,0.45,1.15,10,100,610.57,23.82,52.0,2.9,16,117.0,False
5.0,0.45,1.15,10,200,920.56,33.62,58.6,9.46,17,105.0,False
5.0,0.45,1.15,10,288,470.41,21.16,52.4,2.88,15,109.0,False
5.0,0.45,1.15,20,100,236.8,32.99,51.1,1.74,14,126.0,False
5.0,0.45,1.15,20,200,961.64,34.11,54.2,10.55,17,112.0,False
5.0,0.45,1.15,20,288,759.17,31.3,56.4,4.18,16,122.0,False
