market,span_days,days_in_stagnation,share_of_life_stagnant_pct,episodes,longest_flat_days,longest_flat_years,median_flat_days,market_vol_when_flat,market_vol_when_growing
EURUSD,6939,3707,53.4,20,394,1.08,179,7.8,9.6
XAUUSD,6939,3849,55.5,20,392,1.07,161,15.7,20.3
