market,span_days,days_in_stagnation,share_of_life_stagnant_pct,episodes,longest_flat_days,longest_flat_years,median_flat_days,market_vol_when_flat,market_vol_when_growing
EURUSD,6939,6283,90.5,10,2704,7.4,374,7.8,8.6
XAUUSD,6939,6314,91.0,18,1052,2.88,294,16.9,16.6
